Time,Air Pressure
0.0,1015.0
15.0,1015.2
75.0,1015.0
135.0,1015.0
195.0,1015.1
255.0,1015.0
315.0,1015.0
375.0,1015.0
435.0,1015.0
495.0,1015.0
555.0,1015.1
615.0,1015.1
675.0,1015.0
735.0,1015.1
795.0,1015.1
855.0,1015.1
915.0,1015.2
975.0,1015.1
1035.0,1015.2
1095.0,1015.2
1155.0,1015.3
1215.0,1015.2
1275.0,1015.2
1335.0,1015.2
1395.0,1015.2
1455.0,1015.3
1515.0,1015.2
1575.0,1015.2
1635.0,1015.3
1695.0,1015.3
1755.0,1015.3
1815.0,1015.3
1875.0,1015.3
1935.0,1015.4
1995.0,1015.4
2055.0,1015.3
2115.0,1015.4
2175.0,1015.4
2235.0,1015.4
2295.0,1015.4
2355.0,1015.5
2415.0,1015.4
2475.0,1015.4
2535.0,1015.5
2595.0,1015.5
2655.0,1015.4
2715.0,1015.4
2775.0,1015.5
2835.0,1015.5
2895.0,1015.5
2955.0,1015.6
3015.0,1015.5
3075.0,1015.5
3135.0,1015.5
3195.0,1015.5
3255.0,1015.6
3315.0,1015.6
3375.0,1015.6
3435.0,1015.6
3495.0,1015.6
3555.0,1015.7
3615.0,1015.6
3675.0,1015.6
3735.0,1015.7
3795.0,1015.8
3855.0,1015.7
3915.0,1015.8
3975.0,1015.7
4035.0,1015.7
4095.0,1015.8
4155.0,1015.7
4215.0,1015.8
4275.0,1015.8
4335.0,1015.7
4395.0,1015.8
4455.0,1015.8
4515.0,1015.9
4575.0,1015.8
4635.0,1015.9
4695.0,1015.8
4755.0,1015.8
4815.0,1015.9
4875.0,1015.9
4935.0,1015.9
4995.0,1015.9
5055.0,1015.9
5115.0,1015.8
5175.0,1015.8
5235.0,1015.8
5295.0,1015.8
5355.0,1015.9
5415.0,1015.8
5475.0,1015.9
5535.0,1015.8
5595.0,1015.9
5655.0,1016.0
5715.0,1016.0
5775.0,1016.0
5835.0,1016.0
5895.0,1016.1
5955.0,1016.0
