Number,Driver Name,Driver Initials,Driver Team,Color
44,Lewis HAMILTON,HAM,Mercedes,00d2be
33,Max VERSTAPPEN,VER,Red Bull Racing,1e41ff
16,Charles LECLERC,LEC,Ferrari,dc0000
5,Sebastian VETTEL,VET,Ferrari,dc0000
23,Alexander ALBON,ALB,Red Bull Racing,1e41ff
4,Lando NORRIS,NOR,McLaren,ff8700
3,Daniel RICCIARDO,RIC,Renault,fff500
55,Carlos SAINZ,SAI,McLaren,ff8700
27,Nico HULKENBERG,HUL,Renault,fff500
11,Sergio PEREZ,PER,Racing Point,f596c8
10,Pierre GASLY,GAS,Toro Rosso,469bff
18,Lance STROLL,STR,Racing Point,f596c8
26,Daniil KVYAT,KVY,Toro Rosso,469bff
20,Kevin MAGNUSSEN,MAG,Haas F1 Team,bd9e57
8,Romain GROSJEAN,GRO,Haas F1 Team,bd9e57
99,Antonio GIOVINAZZI,GIO,Alfa Romeo Racing,9b0000
7,Kimi RÄIKKÖNEN,RAI,Alfa Romeo Racing,9b0000
63,George RUSSELL,RUS,Williams,ffffff
88,Robert KUBICA,KUB,Williams,ffffff
77,Valtteri BOTTAS,BOT,Mercedes,00d2be
